"","participant.id_in_session","participant.code","participant.label","participant._current_page_name","participant.time_started_utc","age","gender","education","income","dataScience","dataTeach","1.player.rating0","1.player.vignetteNumber","1.player.order_behavior_types","2.player.rating0","2.player.vignetteNumber","2.player.order_behavior_types","3.player.rating0","3.player.vignetteNumber","3.player.order_behavior_types","4.player.rating0","4.player.vignetteNumber","4.player.order_behavior_types","5.player.rating0","5.player.vignetteNumber","5.player.order_behavior_types","6.player.rating0","6.player.vignetteNumber","6.player.order_behavior_types","7.player.rating0","7.player.vignetteNumber","7.player.order_behavior_types","8.player.rating0","8.player.vignetteNumber","8.player.order_behavior_types","9.player.rating0","9.player.vignetteNumber","9.player.order_behavior_types","10.player.rating0","10.player.vignetteNumber","10.player.order_behavior_types","11.player.rating0","11.player.vignetteNumber","11.player.order_behavior_types","12.player.rating0","12.player.vignetteNumber","12.player.order_behavior_types","13.player.rating0","13.player.vignetteNumber","13.player.order_behavior_types","14.player.rating0","14.player.vignetteNumber","14.player.order_behavior_types","15.player.rating0","15.player.vignetteNumber","15.player.order_behavior_types","16.player.rating0","16.player.vignetteNumber","16.player.order_behavior_types","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.electricity","total_co2","conservative_liberal","age_year","climate_change_concern1","climate_change_concern2","climate_change_concern3","climate_change_concern4","policy_item1","policy_item2","policy_item3","policy_item4","policy_item5","policy_item6","policy_item7","policy_item8","policy_item9","policy_item10","policy_item11","policy_item12","cc_concern.mean","conservative_liberal.binary","policy.support.total","policy.car","policy.flying","policy.RE","policy.meat","policy.recycle","policy.regional_food","policies.subsidies","policies.taxes"
"36",36,"me5c9dha","631121b9300114184c43848c","end","2023-10-27 15:48:48.874999",42,"Male","Higher education (Bachelor, Master, PhD)","23.001£ to 30.500£",1,1,3,4,"['Electricity', 'Vacation', 'Diet', 'Recycling', 'Commute', 'Food']",2,10,"['Recycling', 'Diet', 'Vacation', 'Food', 'Commute', 'Electricity']",4,3,"['Commute', 'Recycling', 'Food', 'Electricity', 'Vacation', 'Diet']",5,6,"['Vacation', 'Diet', 'Commute', 'Electricity', 'Food', 'Recycling']",6,11,"['Commute', 'Vacation', 'Food', 'Diet', 'Recycling', 'Electricity']",5,13,"['Food', 'Commute', 'Electricity', 'Recycling', 'Vacation', 'Diet']",1,0,"['Vacation', 'Food', 'Recycling', 'Electricity', 'Diet', 'Commute']",4,12,"['Vacation', 'Electricity', 'Recycling', 'Diet', 'Commute', 'Food']",4,5,"['Recycling', 'Commute', 'Vacation', 'Diet', 'Food', 'Electricity']",3,1,"['Commute', 'Diet', 'Recycling', 'Food', 'Electricity', 'Vacation']",3,8,"['Commute', 'Recycling', 'Food', 'Diet', 'Electricity', 'Vacation']",4,2,"['Electricity', 'Vacation', 'Commute', 'Recycling', 'Diet', 'Food']",3,9,"['Vacation', 'Recycling', 'Electricity', 'Commute', 'Diet', 'Food']",6,15,"['Electricity', 'Commute', 'Food', 'Diet', 'Recycling', 'Vacation']",5,7,"['Diet', 'Electricity', 'Food', 'Commute', 'Recycling', 'Vacation']",5,14,"['Diet', 'Commute', 'Electricity', 'Food', 'Recycling', 'Vacation']",0,-0.0575,2.282,0.2726,0.1555,0.0729,0,1.294697,4,3,1981,2,3,4,5,5,2,5,5,6,1,1,7,2,7,7,2,3.5,"left-leaning",4.16666666666667,3.5,5,3.5,4,4.5,4.5,6.16666666666667,2.16666666666667
"37",37,"vp2ppj40","59e4b3a1896cfc0001921095","end","2023-10-27 15:49:03.634312",52,"Male","Higher education (Bachelor, Master, PhD)","< 18.000£",1,1,5,7,"['Vacation', 'Food', 'Diet', 'Commute', 'Electricity', 'Recycling']",7,8,"['Food', 'Commute', 'Electricity', 'Diet', 'Recycling', 'Vacation']",3,0,"['Diet', 'Vacation', 'Recycling', 'Electricity', 'Food', 'Commute']",7,14,"['Vacation', 'Food', 'Recycling', 'Diet', 'Commute', 'Electricity']",7,10,"['Food', 'Vacation', 'Diet', 'Electricity', 'Commute', 'Recycling']",8,15,"['Diet', 'Food', 'Electricity', 'Commute', 'Recycling', 'Vacation']",5,4,"['Recycling', 'Vacation', 'Commute', 'Electricity', 'Food', 'Diet']",6,3,"['Food', 'Commute', 'Vacation', 'Recycling', 'Electricity', 'Diet']",6,12,"['Vacation', 'Commute', 'Recycling', 'Electricity', 'Food', 'Diet']",7,11,"['Diet', 'Food', 'Vacation', 'Recycling', 'Commute', 'Electricity']",5,6,"['Food', 'Diet', 'Electricity', 'Vacation', 'Commute', 'Recycling']",7,9,"['Food', 'Electricity', 'Recycling', 'Commute', 'Vacation', 'Diet']",6,13,"['Vacation', 'Electricity', 'Recycling', 'Food', 'Commute', 'Diet']",4,1,"['Commute', 'Food', 'Diet', 'Electricity', 'Vacation', 'Recycling']",6,2,"['Commute', 'Vacation', 'Electricity', 'Diet', 'Recycling', 'Food']",5,5,"['Diet', 'Vacation', 'Electricity', 'Commute', 'Recycling', 'Food']",-0.22,-0.0575,0.955,0,0.1555,0,0,0.1031,0.9,1,1971,6,6,6,6,7,6,6,7,7,4,5,5,6,7,6,5,6,"left-leaning",5.91666666666667,6.5,6.5,5.5,5,6.5,5.5,6.33333333333333,5.5
"38",38,"hjhgptmq","5d5ab7dd5c65830001b05441","end","2023-10-27 15:49:09.130329",36,"Female","Further education","23.001£ to 30.500£",1,1,5,9,"['Electricity', 'Commute', 'Vacation', 'Food', 'Diet', 'Recycling']",4,1,"['Commute', 'Diet', 'Vacation', 'Recycling', 'Electricity', 'Food']",6,11,"['Recycling', 'Commute', 'Diet', 'Electricity', 'Vacation', 'Food']",4,4,"['Electricity', 'Vacation', 'Commute', 'Diet', 'Recycling', 'Food']",5,5,"['Electricity', 'Commute', 'Recycling', 'Food', 'Diet', 'Vacation']",6,14,"['Commute', 'Vacation', 'Food', 'Recycling', 'Diet', 'Electricity']",6,10,"['Food', 'Recycling', 'Vacation', 'Commute', 'Diet', 'Electricity']",5,7,"['Diet', 'Commute', 'Vacation', 'Electricity', 'Food', 'Recycling']",6,6,"['Diet', 'Recycling', 'Commute', 'Vacation', 'Electricity', 'Food']",9,15,"['Recycling', 'Commute', 'Electricity', 'Diet', 'Vacation', 'Food']",6,2,"['Food', 'Diet', 'Commute', 'Recycling', 'Vacation', 'Electricity']",6,12,"['Electricity', 'Recycling', 'Vacation', 'Diet', 'Food', 'Commute']",6,8,"['Recycling', 'Commute', 'Diet', 'Electricity', 'Vacation', 'Food']",5,13,"['Food', 'Electricity', 'Commute', 'Recycling', 'Diet', 'Vacation']",1,0,"['Recycling', 'Diet', 'Vacation', 'Commute', 'Electricity', 'Food']",3,3,"['Vacation', 'Food', 'Commute', 'Recycling', 'Electricity', 'Diet']",-0.11,-0.0575,2.282,1.0872,0.1555,0,0,0.6988837,4.1,4,1987,4,5,5,5,6,2,5,6,7,5,5,6,5,7,6,5,4.75,"left-leaning",5.41666666666667,4,5.5,6,5.5,6,5.5,6.16666666666667,4.66666666666667
"39",39,"ojd1z73y","54aefa06fdf99b09c01b37f4","end","2023-10-27 15:49:14.890217",50,"Female","Higher education (Bachelor, Master, PhD)","23.001£ to 30.500£",1,1,3,11,"['Food', 'Diet', 'Electricity', 'Commute', 'Recycling', 'Vacation']",1,1,"['Recycling', 'Diet', 'Vacation', 'Commute', 'Electricity', 'Food']",5,15,"['Food', 'Commute', 'Diet', 'Vacation', 'Electricity', 'Recycling']",4,6,"['Diet', 'Commute', 'Food', 'Vacation', 'Recycling', 'Electricity']",4,8,"['Diet', 'Recycling', 'Commute', 'Food', 'Vacation', 'Electricity']",4,2,"['Food', 'Vacation', 'Electricity', 'Diet', 'Commute', 'Recycling']",3,13,"['Food', 'Diet', 'Recycling', 'Vacation', 'Electricity', 'Commute']",5,14,"['Vacation', 'Food', 'Recycling', 'Electricity', 'Commute', 'Diet']",4,5,"['Diet', 'Recycling', 'Food', 'Commute', 'Electricity', 'Vacation']",4,9,"['Diet', 'Electricity', 'Recycling', 'Vacation', 'Food', 'Commute']",4,7,"['Recycling', 'Commute', 'Vacation', 'Food', 'Electricity', 'Diet']",4,12,"['Diet', 'Vacation', 'Food', 'Electricity', 'Commute', 'Recycling']",4,10,"['Food', 'Vacation', 'Recycling', 'Electricity', 'Diet', 'Commute']",1,0,"['Recycling', 'Food', 'Diet', 'Vacation', 'Electricity', 'Commute']",3,4,"['Commute', 'Food', 'Vacation', 'Recycling', 'Electricity', 'Diet']",3,3,"['Commute', 'Vacation', 'Electricity', 'Food', 'Diet', 'Recycling']",-0.11,-0.0575,2.282,1.0872,0,0,0,0.1031,3.3,3,1972,6,6,6,6,7,5,7,7,7,4,7,7,7,7,7,7,6,"left-leaning",6.58333333333333,6,7,5.5,7,7,7,7,6.16666666666667
"40",40,"eom3zbvk","61605d5958194ce00c7b9c91","end","2023-10-27 15:49:16.664057",38,"Female","Further education","18.000£ to 23.000£",1,1,3,1,"['Vacation', 'Commute', 'Diet', 'Recycling', 'Electricity', 'Food']",5,4,"['Recycling', 'Commute', 'Vacation', 'Food', 'Diet', 'Electricity']",6,11,"['Vacation', 'Electricity', 'Recycling', 'Diet', 'Food', 'Commute']",4,10,"['Vacation', 'Food', 'Commute', 'Electricity', 'Diet', 'Recycling']",5,13,"['Electricity', 'Food', 'Vacation', 'Recycling', 'Diet', 'Commute']",4,3,"['Commute', 'Recycling', 'Food', 'Vacation', 'Electricity', 'Diet']",6,2,"['Vacation', 'Recycling', 'Commute', 'Electricity', 'Diet', 'Food']",6,8,"['Electricity', 'Recycling', 'Diet', 'Food', 'Vacation', 'Commute']",3,7,"['Electricity', 'Diet', 'Vacation', 'Commute', 'Food', 'Recycling']",6,14,"['Vacation', 'Diet', 'Commute', 'Food', 'Recycling', 'Electricity']",5,6,"['Electricity', 'Commute', 'Diet', 'Recycling', 'Food', 'Vacation']",6,15,"['Commute', 'Recycling', 'Diet', 'Food', 'Electricity', 'Vacation']",6,9,"['Commute', 'Food', 'Electricity', 'Recycling', 'Diet', 'Vacation']",6,12,"['Commute', 'Electricity', 'Recycling', 'Diet', 'Food', 'Vacation']",7,5,"['Commute', 'Electricity', 'Food', 'Recycling', 'Diet', 'Vacation']",2,0,"['Electricity', 'Commute', 'Vacation', 'Diet', 'Food', 'Recycling']",0,-0.0575,2.282,0.2726,0,0,0.36,1.294697,3.8,5,1985,4,6,4,5,7,2,5,2,6,2,2,6,2,6,6,3,4.75,"left-leaning",4.08333333333333,4.5,3.5,4,4,4,4.5,6,2.16666666666667
"41",41,"rktjglx1","613a39b4ebe56cbaf3dbfdc7","end","2023-10-27 15:49:29.176196",34,"Female","Higher education (Bachelor, Master, PhD)","23.001£ to 30.500£",1,1,7,15,"['Diet', 'Vacation', 'Commute', 'Electricity', 'Food', 'Recycling']",5,6,"['Electricity', 'Food', 'Diet', 'Vacation', 'Commute', 'Recycling']",3,4,"['Food', 'Electricity', 'Recycling', 'Diet', 'Vacation', 'Commute']",3,9,"['Commute', 'Vacation', 'Electricity', 'Food', 'Diet', 'Recycling']",3,13,"['Food', 'Diet', 'Commute', 'Recycling', 'Vacation', 'Electricity']",5,11,"['Electricity', 'Diet', 'Vacation', 'Recycling', 'Commute', 'Food']",3,12,"['Food', 'Commute', 'Vacation', 'Electricity', 'Diet', 'Recycling']",6,3,"['Vacation', 'Electricity', 'Food', 'Commute', 'Diet', 'Recycling']",4,10,"['Vacation', 'Food', 'Electricity', 'Recycling', 'Diet', 'Commute']",4,5,"['Electricity', 'Vacation', 'Food', 'Commute', 'Recycling', 'Diet']",6,7,"['Electricity', 'Food', 'Commute', 'Recycling', 'Vacation', 'Diet']",4,8,"['Electricity', 'Commute', 'Vacation', 'Diet', 'Recycling', 'Food']",6,14,"['Food', 'Electricity', 'Recycling', 'Vacation', 'Diet', 'Commute']",5,2,"['Vacation', 'Recycling', 'Food', 'Diet', 'Electricity', 'Commute']",2,0,"['Food', 'Commute', 'Recycling', 'Vacation', 'Diet', 'Electricity']",3,1,"['Electricity', 'Commute', 'Recycling', 'Diet', 'Vacation', 'Food']",0,-0.0575,1.053,0,0.1555,0.0729,2.07,0.6988837,4,1,1989,6,6,6,6,7,5,6,5,7,6,7,7,5,7,7,7,6,"left-leaning",6.33333333333333,6,5.5,6.5,7,6,7,6.83333333333333,5.83333333333333
"42",42,"80lktw58","5655ac37d970d100058322c3","end","2023-10-27 15:49:47.701658",32,"Male","Higher education (Bachelor, Master, PhD)","18.000£ to 23.000£",1,1,4,11,"['Commute', 'Electricity', 'Diet', 'Food', 'Recycling', 'Vacation']",3,13,"['Electricity', 'Diet', 'Food', 'Vacation', 'Recycling', 'Commute']",4,2,"['Electricity', 'Food', 'Diet', 'Vacation', 'Commute', 'Recycling']",5,14,"['Vacation', 'Electricity', 'Diet', 'Recycling', 'Commute', 'Food']",4,12,"['Commute', 'Recycling', 'Diet', 'Electricity', 'Vacation', 'Food']",4,4,"['Food', 'Commute', 'Vacation', 'Diet', 'Recycling', 'Electricity']",4,3,"['Commute', 'Diet', 'Electricity', 'Recycling', 'Vacation', 'Food']",5,9,"['Recycling', 'Electricity', 'Food', 'Vacation', 'Commute', 'Diet']",4,6,"['Diet', 'Food', 'Electricity', 'Recycling', 'Vacation', 'Commute']",4,10,"['Recycling', 'Commute', 'Electricity', 'Food', 'Vacation', 'Diet']",4,7,"['Electricity', 'Commute', 'Vacation', 'Diet', 'Food', 'Recycling']",4,1,"['Commute', 'Vacation', 'Recycling', 'Diet', 'Food', 'Electricity']",3,8,"['Electricity', 'Recycling', 'Commute', 'Diet', 'Vacation', 'Food']",4,15,"['Vacation', 'Diet', 'Electricity', 'Commute', 'Food', 'Recycling']",4,0,"['Recycling', 'Electricity', 'Food', 'Vacation', 'Diet', 'Commute']",4,5,"['Electricity', 'Recycling', 'Diet', 'Food', 'Commute', 'Vacation']",-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.6988837,3.1,5,1991,4,5,5,5,5,3,5,4,7,2,2,6,6,7,6,3,4.75,"left-leaning",4.66666666666667,4,4.5,4.5,4,6.5,4.5,6,3.33333333333333
"43",43,"wo4nuiti","63d148b0da246ce02c8bd22b","end","2023-10-27 15:49:51.983549",31,"Female","Higher education (Bachelor, Master, PhD)","< 18.000£",1,1,6,12,"['Food', 'Recycling', 'Vacation', 'Electricity', 'Diet', 'Commute']",6,11,"['Electricity', 'Recycling', 'Food', 'Diet', 'Commute', 'Vacation']",2,1,"['Commute', 'Diet', 'Electricity', 'Recycling', 'Vacation', 'Food']",5,6,"['Recycling', 'Commute', 'Diet', 'Vacation', 'Food', 'Electricity']",5,9,"['Recycling', 'Vacation', 'Food', 'Commute', 'Electricity', 'Diet']",4,13,"['Recycling', 'Vacation', 'Commute', 'Electricity', 'Food', 'Diet']",5,10,"['Food', 'Diet', 'Recycling', 'Electricity', 'Vacation', 'Commute']",4,5,"['Commute', 'Diet', 'Electricity', 'Food', 'Vacation', 'Recycling']",1,0,"['Recycling', 'Electricity', 'Commute', 'Food', 'Vacation', 'Diet']",5,7,"['Commute', 'Diet', 'Vacation', 'Recycling', 'Food', 'Electricity']",4,4,"['Food', 'Electricity', 'Diet', 'Recycling', 'Commute', 'Vacation']",4,8,"['Electricity', 'Diet', 'Food', 'Vacation', 'Commute', 'Recycling']",6,2,"['Electricity', 'Diet', 'Food', 'Commute', 'Recycling', 'Vacation']",8,14,"['Food', 'Commute', 'Diet', 'Electricity', 'Recycling', 'Vacation']",6,3,"['Diet', 'Commute', 'Electricity', 'Recycling', 'Food', 'Vacation']",8,15,"['Commute', 'Food', 'Diet', 'Electricity', 'Vacation', 'Recycling']",-0.11,-0.0575,0.955,1.0872,0,0,0.9,1.294697,4.1,2,1992,6,6,6,6,6,6,6,5,7,4,7,7,3,7,7,4,6,"left-leaning",5.75,6,5.5,5.5,7,5,5.5,6.66666666666667,4.83333333333333
"44",44,"5cawpedz","5d753206869c8f0001b358dd","end","2023-10-27 15:49:52.842246",39,"Female","Higher education (Bachelor, Master, PhD)","< 18.000£",1,1,4,4,"['Vacation', 'Commute', 'Electricity', 'Recycling', 'Diet', 'Food']",7,15,"['Diet', 'Vacation', 'Food', 'Electricity', 'Commute', 'Recycling']",7,11,"['Electricity', 'Food', 'Commute', 'Diet', 'Vacation', 'Recycling']",6,13,"['Food', 'Commute', 'Electricity', 'Vacation', 'Diet', 'Recycling']",6,7,"['Diet', 'Commute', 'Recycling', 'Vacation', 'Food', 'Electricity']",5,2,"['Recycling', 'Commute', 'Food', 'Vacation', 'Diet', 'Electricity']",5,10,"['Diet', 'Recycling', 'Commute', 'Food', 'Electricity', 'Vacation']",2,0,"['Electricity', 'Diet', 'Food', 'Vacation', 'Recycling', 'Commute']",6,8,"['Commute', 'Food', 'Recycling', 'Electricity', 'Vacation', 'Diet']",3,1,"['Diet', 'Electricity', 'Commute', 'Food', 'Recycling', 'Vacation']",5,3,"['Commute', 'Recycling', 'Diet', 'Vacation', 'Electricity', 'Food']",6,5,"['Electricity', 'Diet', 'Food', 'Recycling', 'Vacation', 'Commute']",7,12,"['Food', 'Recycling', 'Commute', 'Vacation', 'Diet', 'Electricity']",7,14,"['Vacation', 'Diet', 'Electricity', 'Recycling', 'Commute', 'Food']",7,9,"['Food', 'Recycling', 'Commute', 'Vacation', 'Diet', 'Electricity']",5,6,"['Commute', 'Vacation', 'Diet', 'Electricity', 'Recycling', 'Food']",-0.22,-0.0575,1.431,0.2726,0,0,0,0.1031,1.5,5,1983,3,4,4,3,5,4,5,4,6,4,4,5,5,6,5,4,3.5,"left-leaning",4.75,4.5,4.5,5,4.5,5.5,4.5,5.33333333333333,4.16666666666667
"45",45,"adb7djkl","631625a868c124694850420c","end","2023-10-27 15:50:00.548769",22,"Male","Further education","< 18.000£",1,1,3,1,"['Commute', 'Vacation', 'Diet', 'Food', 'Recycling', 'Electricity']",9,15,"['Vacation', 'Diet', 'Commute', 'Food', 'Electricity', 'Recycling']",5,13,"['Electricity', 'Diet', 'Vacation', 'Recycling', 'Commute', 'Food']",3,7,"['Vacation', 'Diet', 'Food', 'Electricity', 'Recycling', 'Commute']",3,11,"['Food', 'Electricity', 'Diet', 'Commute', 'Vacation', 'Recycling']",4,8,"['Food', 'Electricity', 'Vacation', 'Recycling', 'Diet', 'Commute']",5,10,"['Diet', 'Recycling', 'Vacation', 'Commute', 'Food', 'Electricity']",8,6,"['Diet', 'Food', 'Recycling', 'Vacation', 'Commute', 'Electricity']",5,4,"['Vacation', 'Food', 'Electricity', 'Diet', 'Recycling', 'Commute']",4,2,"['Food', 'Electricity', 'Vacation', 'Diet', 'Recycling', 'Commute']",5,12,"['Commute', 'Electricity', 'Food', 'Diet', 'Recycling', 'Vacation']",3,0,"['Diet', 'Vacation', 'Recycling', 'Electricity', 'Commute', 'Food']",3,9,"['Vacation', 'Recycling', 'Food', 'Commute', 'Electricity', 'Diet']",6,3,"['Recycling', 'Electricity', 'Diet', 'Food', 'Vacation', 'Commute']",7,5,"['Vacation', 'Commute', 'Diet', 'Recycling', 'Electricity', 'Food']",5,14,"['Food', 'Diet', 'Commute', 'Recycling', 'Vacation', 'Electricity']",-0.33,-0.0575,2.282,0,0,0,0,1.294697,3.2,6,2001,1,2,3,3,6,3,4,2,5,1,1,5,3,5,4,3,2.25,"right-leaning",3.5,4.5,3,3,3,4,3.5,4.83333333333333,2.16666666666667
"46",46,"q8yw5xsg","5e8f28c5d73dcd03c21314dc","end","2023-10-27 15:50:01.827405",46,"Female","Higher education (Bachelor, Master, PhD)","30.501£ to 45.000£",1,1,6,6,"['Vacation', 'Commute', 'Diet', 'Electricity', 'Recycling', 'Food']",7,13,"['Diet', 'Electricity', 'Commute', 'Food', 'Vacation', 'Recycling']",6,10,"['Vacation', 'Diet', 'Recycling', 'Food', 'Electricity', 'Commute']",3,0,"['Food', 'Recycling', 'Vacation', 'Commute', 'Diet', 'Electricity']",5,2,"['Recycling', 'Diet', 'Food', 'Vacation', 'Commute', 'Electricity']",6,7,"['Recycling', 'Diet', 'Electricity', 'Vacation', 'Commute', 'Food']",4,4,"['Recycling', 'Diet', 'Commute', 'Vacation', 'Food', 'Electricity']",8,8,"['Food', 'Electricity', 'Recycling', 'Commute', 'Vacation', 'Diet']",8,12,"['Vacation', 'Electricity', 'Commute', 'Recycling', 'Food', 'Diet']",9,15,"['Commute', 'Diet', 'Electricity', 'Food', 'Vacation', 'Recycling']",6,3,"['Diet', 'Recycling', 'Electricity', 'Food', 'Vacation', 'Commute']",4,1,"['Recycling', 'Diet', 'Vacation', 'Food', 'Commute', 'Electricity']",8,9,"['Recycling', 'Electricity', 'Diet', 'Commute', 'Food', 'Vacation']",8,11,"['Commute', 'Recycling', 'Vacation', 'Food', 'Electricity', 'Diet']",9,5,"['Commute', 'Electricity', 'Diet', 'Recycling', 'Food', 'Vacation']",9,14,"['Vacation', 'Electricity', 'Recycling', 'Food', 'Diet', 'Commute']",-0.33,-0.0575,2.282,0,0.6201,0.2909,0,0.6988837,3.5,4,1977,6,6,6,6,7,6,6,7,7,4,5,6,5,7,6,7,6,"left-leaning",6.08333333333333,6.5,6.5,5.5,5.5,6,6.5,6.5,5.66666666666667
"47",47,"rd1lred9","5e0a2c6ca1f3612bc1edd2bc","end","2023-10-27 15:50:04.980792",42,"Female","Higher education (Bachelor, Master, PhD)","> 45.001£",1,1,7,2,"['Vacation', 'Food', 'Recycling', 'Diet', 'Electricity', 'Commute']",4,8,"['Vacation', 'Diet', 'Food', 'Commute', 'Recycling', 'Electricity']",5,9,"['Commute', 'Diet', 'Recycling', 'Electricity', 'Vacation', 'Food']",7,6,"['Commute', 'Electricity', 'Diet', 'Recycling', 'Food', 'Vacation']",3,1,"['Diet', 'Food', 'Commute', 'Electricity', 'Vacation', 'Recycling']",5,10,"['Commute', 'Recycling', 'Food', 'Vacation', 'Diet', 'Electricity']",4,13,"['Diet', 'Electricity', 'Commute', 'Vacation', 'Recycling', 'Food']",6,11,"['Electricity', 'Food', 'Vacation', 'Commute', 'Diet', 'Recycling']",5,3,"['Commute', 'Recycling', 'Diet', 'Food', 'Electricity', 'Vacation']",1,0,"['Food', 'Diet', 'Electricity', 'Vacation', 'Recycling', 'Commute']",4,12,"['Food', 'Commute', 'Recycling', 'Diet', 'Vacation', 'Electricity']",4,4,"['Diet', 'Vacation', 'Electricity', 'Commute', 'Recycling', 'Food']",6,14,"['Commute', 'Vacation', 'Recycling', 'Electricity', 'Food', 'Diet']",7,15,"['Commute', 'Food', 'Vacation', 'Electricity', 'Recycling', 'Diet']",5,5,"['Food', 'Vacation', 'Electricity', 'Commute', 'Diet', 'Recycling']",6,7,"['Food', 'Recycling', 'Diet', 'Commute', 'Vacation', 'Electricity']",-0.11,-0.0575,2.282,0.2726,0.1555,0.2909,2.07,0.6988837,5.6,5,1981,5,6,5,5,7,4,4,2,7,4,5,6,4,6,4,4,5.25,"left-leaning",4.75,5.5,3,5.5,5.5,5,4,5.66666666666667,3.83333333333333
"48",48,"0jqwf90l","62029b31ef1cb18a1337c7be","end","2023-10-27 15:50:19.143719",49,"Female","Further education","< 18.000£",1,1,3,7,"['Commute', 'Electricity', 'Diet', 'Recycling', 'Vacation', 'Food']",5,15,"['Food', 'Diet', 'Electricity', 'Vacation', 'Recycling', 'Commute']",2,6,"['Recycling', 'Commute', 'Food', 'Electricity', 'Vacation', 'Diet']",2,9,"['Diet', 'Food', 'Recycling', 'Electricity', 'Vacation', 'Commute']",2,12,"['Commute', 'Recycling', 'Electricity', 'Vacation', 'Food', 'Diet']",1,1,"['Vacation', 'Recycling', 'Food', 'Electricity', 'Commute', 'Diet']",2,13,"['Food', 'Recycling', 'Diet', 'Vacation', 'Commute', 'Electricity']",2,2,"['Electricity', 'Commute', 'Food', 'Diet', 'Vacation', 'Recycling']",2,10,"['Electricity', 'Recycling', 'Diet', 'Food', 'Vacation', 'Commute']",3,11,"['Commute', 'Electricity', 'Recycling', 'Diet', 'Food', 'Vacation']",5,14,"['Recycling', 'Electricity', 'Commute', 'Vacation', 'Food', 'Diet']",4,4,"['Diet', 'Vacation', 'Commute', 'Electricity', 'Recycling', 'Food']",1,0,"['Vacation', 'Electricity', 'Commute', 'Recycling', 'Food', 'Diet']",4,5,"['Electricity', 'Vacation', 'Food', 'Commute', 'Diet', 'Recycling']",3,8,"['Vacation', 'Electricity', 'Recycling', 'Diet', 'Food', 'Commute']",2,3,"['Electricity', 'Commute', 'Recycling', 'Diet', 'Vacation', 'Food']",-0.33,-0.0575,2.282,1.0872,0,0,0,1.294697,4.3,5,1974,5,5,5,6,4,1,4,4,2,1,1,4,2,7,4,1,5.25,"left-leaning",2.91666666666667,2.5,4,1.5,2.5,4.5,2.5,4.16666666666667,1.66666666666667
"49",49,"djqlfyl1","62fcedae37fcdac16269c7f0","end","2023-10-27 15:50:28.411617",20,"Male","Higher education (Bachelor, Master, PhD)","18.000£ to 23.000£",1,1,4,14,"['Recycling', 'Vacation', 'Diet', 'Food', 'Commute', 'Electricity']",2,1,"['Vacation', 'Electricity', 'Commute', 'Diet', 'Recycling', 'Food']",3,3,"['Food', 'Electricity', 'Commute', 'Recycling', 'Vacation', 'Diet']",1,4,"['Commute', 'Food', 'Recycling', 'Vacation', 'Diet', 'Electricity']",3,6,"['Diet', 'Recycling', 'Commute', 'Vacation', 'Food', 'Electricity']",3,12,"['Recycling', 'Vacation', 'Electricity', 'Commute', 'Food', 'Diet']",2,8,"['Recycling', 'Vacation', 'Food', 'Commute', 'Electricity', 'Diet']",4,9,"['Electricity', 'Commute', 'Recycling', 'Food', 'Vacation', 'Diet']",2,7,"['Diet', 'Commute', 'Recycling', 'Electricity', 'Food', 'Vacation']",1,2,"['Food', 'Recycling', 'Electricity', 'Vacation', 'Commute', 'Diet']",4,11,"['Diet', 'Commute', 'Vacation', 'Electricity', 'Food', 'Recycling']",3,13,"['Vacation', 'Recycling', 'Food', 'Commute', 'Diet', 'Electricity']",5,15,"['Vacation', 'Electricity', 'Commute', 'Food', 'Diet', 'Recycling']",4,10,"['Recycling', 'Food', 'Commute', 'Vacation', 'Diet', 'Electricity']",4,5,"['Recycling', 'Electricity', 'Food', 'Commute', 'Diet', 'Vacation']",1,0,"['Diet', 'Food', 'Vacation', 'Electricity', 'Recycling', 'Commute']",-0.33,-0.0575,2.282,0.2726,0,0,0.9,0.6988837,3.8,5,2003,5,5,6,4,7,1,5,1,6,1,2,5,1,7,7,3,5,"left-leaning",3.83333333333333,4,3,3.5,3.5,4,5,6.16666666666667,1.5
