"","participant.label","(Intercept)","flying.weight","diet.weight","electricity.weight","commute.weight","regional.weight","recycling.weight","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car","policy.flying","policy.recycle","policy.RE","policy.meat","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"15","576fc3462984e70001a97fc3",1.26841676838563,2.09269101750962,1.31236118322641,0.708370594701983,0.336631040934105,0.795994544162856,1.25043350231059,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,3.4,"left-leaning",4,6.5,3.5,6,5.5,6,5.5,0.1031,-0.22,-0.0575,1.053,0.2726,0.1555,0,2.07,0.07775
"16","577e3a5025cb71000128727e",2.28123118764453,0.87071688701364,1.00448229032169,0.581251507522022,0.348013530445219,0.690724488253059,1.15739933240944,"Female",63,"< 18.000£","Further education",5.25,2.5,"left-leaning",5,5,6.5,6,3,6,5.5,0.1031,-0.22,-0.0575,1.431,1.0872,0.1555,0,0,0.07775
"17","577f91b84d107800016d9e69",1.96363018073395,2.60383768887995,0.825838061131904,0.875200717329382,0.352175145099989,0.706083442245555,1.04468548327876,"Male",70,"23.001£ to 30.500£","Further education",4.75,3.2,"right-leaning",6,5,5,6,6,4.5,6.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"18","58a085f6f6cc2100012af56e",1.9616660662474,2.17617242991472,1.87185399427337,0.795818091681719,0.483461188210836,0.95869448838397,1.26910934514742,"Male",46,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.1,"left-leaning",3,7,7,6.5,5.5,3.5,5.5,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.2909,0,0.2232
"19","5918a03738cc6d0001a4bde7",3.30049923596553,0.294875857606736,-0.0196033291465376,0.4260176833487,0.186783147880989,0.196911586334906,0.438669706130388,"Male",37,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,2.3,"right-leaning",8,3,1,3.5,1,1,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"20","594a8e2eeaa18e000163f6cd",4.54427807668844,2.32741844132682,-1.7299651511618,0.683452953752479,0.0625907175475469,-0.239990775412735,-0.228316136411382,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",1,3.7,"right-leaning",9,3.5,1,3,1,1,3,1.294697,-0.33,0,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"21","596e6e5cd7919800014b49b8",2.40297992237352,2.18460354179283,0.71059727186092,0.557736273953564,0.241934798530898,0.463342983596975,0.709602249467761,"Male",48,"30.501£ to 45.000£","Compulsory education",3,3.9,"left-leaning",3,4,4.5,5,3,3,4.5,0.6988837,-0.33,-0.0575,2.282,1.0872,0.1555,0.0729,0,0.1142
"22","597b652912b52100010ca9b2",2.57759119378728,1.92232324909475,1.02060851102504,0.966218066191555,0.482539224762099,0.837841238643251,1.16952995815488,"Female",23,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,6,5,6.5,5.5,5,6,1.294697,-0.33,-0.0575,2.282,0,0.1555,0,0.36,0.07775
"23","597c6cdf21db3a0001418541",1.22077100423024,1.30838955739151,0.701043724625045,0.855538606025105,0.406463332064678,0.828367494017656,1.50424157601468,"Male",66,"23.001£ to 30.500£","Further education",3.25,3.9,"right-leaning",7,3.5,1,2.5,4,3,2.5,1.294697,0,-0.0575,2.282,0.2726,0,0.0729,0,0.03645
"24","59839cb9554956000142d95f",2.52204287653026,2.23478399663882,1.28420530520955,0.659114364107029,0.30812615551306,0.686204517590101,0.919079013959191,"Female",52,"< 18.000£","Compulsory education",6,1.4,"left-leaning",3,5,6.5,5,3.5,4,6,0.6988837,-0.33,-0.0575,1.053,0,0,0,0,0
"25","59a9c0291b7a550001d6392e",2.26383867600872,1.70779992231639,1.22022159076355,0.563174172098574,0.307214913244899,0.631850389619331,0.917382456962512,"Female",41,"< 18.000£","Higher education (Bachelor, Master, PhD)",3.75,5.5,"left-leaning",3,4,2,5.5,5,3.5,6,0.6988837,-0.33,-0.0575,2.282,2.0414,0,0,0.9,0
"26","59b193aff69f3400018671ba",2.56095177077612,1.09412122436235,0.529276389267142,0.463339616923992,0.206903890736887,0.383747045375669,0.676816775163159,"Male",54,"< 18.000£","Further education",3,1.2,"right-leaning",8,7,6.5,7,5.5,4.5,5.5,0.1031,-0.11,-0.0575,1.053,0,0.1555,0.0729,0,0.1142
"27","59baa4f5178f1b00018289b2",1.32125055877168,0.265826559515409,0.249564941145846,0.354737722142586,-0.0598695624972845,0.153562024742622,0.464107954983422,"Male",57,"23.001£ to 30.500£","Further education",1.75,3.6,"right-leaning",6,3,1,3,2.5,2.5,3.5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"28","59e4b3a1896cfc0001921095",3.34112567089321,1.3595702829878,1.07312518951125,0.495970314220868,0.499171673199389,0.587765670384774,0.816493495730701,"Male",52,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,0.9,"left-leaning",1,6.5,6.5,6.5,5.5,5,5.5,0.1031,-0.22,-0.0575,0.955,0,0.1555,0,0,0.07775
"29","59f7876cbe9c0c0001486c7d",4.38342898780105,1.17624688375499,0.400353986116423,0.430919611236908,0.44021973687808,0.393004351291497,0.595245949131513,"Male",62,"< 18.000£","Compulsory education",4.25,3.2,"left-leaning",5,1,1,1.5,1,1.5,2,0.6988837,-0.11,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"30","5a01d867074b1900012512ef",2.217999233777,0.720143958001195,0.993861110882869,0.880646564064916,0.62159120919033,0.932906788755524,1.52305139726166,"Female",30,"23.001£ to 30.500£","Further education",2.25,3.6,"left-leaning",5,3,3,4,4,3.5,3,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"31","5a04ccfef2e3460001edadef",2.98557611382962,1.43711338875564,0.939923103762556,0.448399866884933,0.475133385533126,0.594910518821524,0.95729346251155,"Female",68,"23.001£ to 30.500£","Compulsory education",5.75,2.9,"right-leaning",8,4.5,6.5,5.5,4,6,5.5,0.6988837,-0.11,-0.0575,1.234,1.0872,0,0,0,0
"32","5a75d51a0f1bce0001219703",0.984746709939783,-0.0396311196776926,1.1003411225825,0.539127292701545,0.282610672099804,0.689742741017696,1.28489695493486,"Female",66,"23.001£ to 30.500£","Compulsory education",6,3.3,"left-leaning",3,3,6,7,4.5,5,6.5,0.1031,-0.33,-0.0575,2.282,0.2726,0.1555,0,0.9,0.07775
"33","5a7ace61eea3d300016e07fd",2.73403887051755,0.517592409207688,1.58790290717083,0.449136552615582,0.565770789509424,0.921431885131853,1.51584480430044,"Male",69,"> 45.001£","Higher education (Bachelor, Master, PhD)",5.75,3.8,"left-leaning",5,6.5,5.5,7,6,7,6,0.6988837,-0.22,-0.0575,1.431,1.0872,0,0,0.9,0
"34","5a913c1e6475f900019f8e5c",2.7847357420603,1.00182952008734,1.67616396329614,0.248600345429852,0.315794308921909,0.617547307102531,0.883675002936835,"Male",65,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,3.2,"left-leaning",2,7,7,7,7,7,7,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"35","5a9ca92b6219a30001f5351e",2.93348431441258,0.775801382607115,0.825626493984293,0.718998100997672,0.463398253651219,0.629600917373583,0.918711574995019,"Male",27,"< 18.000£","Higher education (Bachelor, Master, PhD)",4.5,4,"left-leaning",3,6,5,6.5,5.5,5.5,4.5,1.294697,-0.44,-0.0575,2.282,0,0.6201,0.2909,0,0.4555
"36","5ae5a3ff3ab2fb0001ef2b91",5.76032514460612,0.272876628201208,-0.918804669249486,0.243828948710941,0.187307907666667,-0.212503193309316,-0.261338148361648,"Male",34,"> 45.001£","Higher education (Bachelor, Master, PhD)",2,6,"right-leaning",10,1.5,1,4,1.5,2.5,3,1.294697,-0.44,-0.0575,2.282,1.0872,0.6201,0.2909,0.9,0.4555
"37","5ae8d7b596845f0001c7948d",2.4057015483216,0.749493786407727,1.17338036485328,0.766098648153918,0.593973544963534,0.768762995035798,1.10974272079442,"Female",59,"< 18.000£","Further education",4.25,3.4,"right-leaning",7,3.5,2.5,4,2.5,5,4.5,1.294697,-0.22,-0.0575,1.234,0.2726,0,0,0.9,0
"38","5aecb87ac09cd900015d7d7b",1.1249682158737,2.26451763383515,1.26257942498008,0.692804991189105,0.287807392075946,0.667953654321171,0.981000446249241,"Male",32,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.5,3.3,"left-leaning",4,3.5,5.5,4,4,3.5,4,1.294697,-0.22,-0.0575,2.282,0,0,0,0,0
"39","5af4579eb625f70001e0cfad",2.45203760953881,1.08888441700878,0.403924429949982,0.398027047122518,0.241532738646909,0.368729998146621,0.747073579444999,"Female",45,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",4.75,7.2,"right-leaning",6,4,1.5,3,4,3,2.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0,3.59,0.07775
"40","5b03567dc573030001c36f1d",2.96346503089448,1.36890578176554,1.62464983499899,0.38603089000309,0.448116516217725,0.717527749780018,1.01480644893092,"Female",29,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,4.2,"left-leaning",4,7,4.5,6.5,5.5,7,6.5,0.6988837,-0.22,-0.0575,0.955,0.2726,0.1555,0.2909,2.07,0.2232
"41","5b1386089663ee0001461b6e",2.92484008116068,1.53188245708927,0.879079837549233,0.59834285652925,0.569226288012822,0.681154964641306,1.08089768248034,"Male",49,"> 45.001£","Higher education (Bachelor, Master, PhD)",6,2.1,"left-leaning",3,6,6.5,6,5,4.5,6,0.1031,-0.22,-0.0575,2.282,0,0,0,0,0
"42","5b14265d30d562000155ea04",1.89500091511459,1.99853755376202,0.544279422076706,0.933956250140036,0.470948331788756,0.722706049123763,1.17328904993965,"Male",44,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,3.7,"right-leaning",6,4.5,5.5,5,4,3.5,5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0.2909,0,0.14545
"43","5b1562981e55760001ba1e64",1.72996473677647,2.98316450507168,0.750718864501494,0.815177174675993,0.323386503232015,0.605237356239455,0.885905871560527,"Male",60,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.6,"right-leaning",6,6.5,7,2.5,6.5,5.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"44","5b19a21bfceed30001b57e6e",3.97881169652599,0.502935232590152,0.656543007728184,0.5373437284565,0.512826350977848,0.525233200272612,0.777235506018704,"Female",31,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,4.5,"right-leaning",6,5.5,3,6.5,4,3.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.9,0
"45","5b2c0994f1ca3c000190196a",2.07674569873807,1.22454872854153,1.72942111935677,0.690536174928879,0.683379681586228,1.09142283844084,1.72623365098849,"Female",39,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,2.4,"right-leaning",7,3.5,5.5,7,5,6.5,7,1.294697,-0.33,-0.0575,1.234,0.2726,0,0,0,0
"46","5b4b0e8d94020800016323ed",1.07180205356779,1.63958533434966,1.30950398203631,0.64417029307776,0.0861765565767008,0.571527978978537,0.799223805229514,"Male",41,"30.501£ to 45.000£","Further education",5,5,"left-leaning",5,6,3.5,4.5,5,4,4,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.0729,2.07,0.1142
"47","5b4ce12a1fa5830001016869",2.46113486024432,1.22545648652467,0.952994865285668,0.350562190671984,0.297161361772019,0.52188471744672,0.911364338068629,"Male",48,"< 18.000£","Further education",2,3.9,"right-leaning",9,3,3,4,3,2,2,1.294697,-0.11,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"48","5b90696e50f7ce00016007aa",3.39331092267454,-0.281895621943568,1.27592677896852,0.0959292844109698,0.485592633649251,0.568517102860254,1.00740792137265,"Male",71,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,17.1,"right-leaning",6,4,1,3,1,1,1,1.294697,-0.44,-0.0575,2.282,0.2726,0.1555,0.0729,13.48,0.1142
"49","5b9d05862299630001406f88",1.99421818442644,0.917801433714863,1.3684962481785,0.565709977315105,0.312058897680719,0.721417856066621,1.11422519344142,"Female",64,"< 18.000£","Further education",6,1.9,"left-leaning",2,7,4.5,6.5,6,5.5,6,0.6988837,-0.44,-0.0575,1.431,0,0.1555,0.0729,0.36,0.1142
"50","5bad50b93d5a320001f632f6",2.47830331508931,1.66280608506796,0.622084411569476,0.781639367907648,0.285507184832731,0.567324623865977,0.844118588992904,"Female",33,"> 45.001£","Higher education (Bachelor, Master, PhD)",6,4.2,"right-leaning",8,6,5,6.5,4,3.5,5.5,1.294697,-0.44,-0.0575,1.234,2.0414,0.1555,0,0,0.07775
"51","5bec992f398eb00001a24ace",2.06056774032105,1.28527088819746,0.99220685533318,1.1353398485391,0.84419193099203,0.894518663047786,1.22177976336276,"Male",27,"< 18.000£","Further education",4,2.9,"left-leaning",5,6,3.5,3,3,3.5,3.5,0.6988837,0,-0.0575,2.282,0,0,0,0,0
"52","5c083bf7133f8700012f74fe",2.70331274940381,0.673801554836742,1.01851909731436,0.647324403550161,0.609248143844341,0.783047277894254,1.27223809237338,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.75,2.2,"right-leaning",6,4,4.5,5.5,4.5,4.5,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0,0,0,0
"53","5c097fbac15a020001bb0720",1.31707666485345,1.08309940630182,0.456086034770422,0.509552241799526,0.108983864259551,0.345259034388566,0.69801895145324,"Female",49,"< 18.000£","Further education",1.5,3.6,"right-leaning",8,4,4,4,3.5,4,4,1.294697,-0.11,-0.0575,1.431,1.0872,0,0,0,0
"54","5c1a9e662e3e4200018d9ff6",4.48088972690507,0.392211739643122,-0.197001831147255,0.529606066478906,0.349370568700872,0.229812061289247,0.40047524735582,"Female",24,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5,10.8,"right-leaning",6,6.5,4.5,5,3.5,4.5,5.5,1.294697,0,0,2.282,0.2726,0.1555,0.0729,6.74,0.1142
"55","5c3baa275a88cc000189ef36",1.35889065031485,0.377111310146217,0.34121148266456,0.425014316291892,0.0143231751701067,0.229261908664967,0.54652592928449,"Male",45,"> 45.001£","Higher education (Bachelor, Master, PhD)",2,7.1,"right-leaning",6,4.5,4,4,4,4,4,1.294697,-0.22,-0.0575,2.282,0,0.1555,0.0729,3.59,0.1142
"56","5c3d48955fd1050001a99364",2.4474672663409,0.511353946041941,-0.382588274873547,0.86709319303938,0.397297208940715,0.458168794743325,0.967028838826256,"Female",33,"18.000£ to 23.000£","Compulsory education",2.5,7.6,"left-leaning",4,4,5.5,5.5,2.5,4,2.5,1.294697,-0.22,-0.0575,2.282,4.0896,0.1555,0.0729,0,0.1142
"57","5c49d339b43d260001e4dbcb",3.3547975179907,-0.0898601478760621,0.267002574511448,0.473910292371747,0.302020651369135,0.28673660357888,0.494208847702222,"Male",46,"> 45.001£","Compulsory education",6,6.3,"left-leaning",5,4.5,5,5,5,4.5,5,1.294697,-0.11,-0.0575,2.282,2.0414,0,0,0.9,0
"58","5c49e145e97243000194bace",4.67444585045612,-1.48065698935348,-0.382310417601765,-0.388787540751169,0.174914650945941,-0.278450479024329,-0.061035514340632,"Female",38,"< 18.000£","Further education",3.75,6.8,"right-leaning",6,3,2.5,2.5,2.5,2.5,4,1.294697,-0.22,-0.0575,2.282,3.27168,0.1555,0.0729,0.36,0.1142
"59","5c51d3e6a163ac0001721273",2.41624544914595,0.816185035938973,0.651874922748686,0.585652840035008,0.389159784166257,0.560119843554105,0.970289162649107,"Male",47,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",4,4,6,5,4,6.5,6,0.1031,-0.22,-0.0575,1.234,1.0872,0,0,0,0
"60","5c582f95caffa2000175bc72",2.30824519762375,1.64597833610472,0.722711761849981,0.549990133147191,0.249137645123324,0.46121771380734,0.725343888901535,"Female",37,"< 18.000£","Further education",4.5,6.9,"left-leaning",5,4.5,3.5,4,4,4,5,1.294697,0,-0.0575,2.282,1.0872,0.1555,0.0729,2.07,0.1142
